Content,label
"Team,      A contribution of $900k has been just made to the rothstrsut acount tbxlokm909. please ivest today.Best,Akshay C. PatelBank of America Merrill Lynch",Same-Day Contributions
"Good morning,FYI. We have journaled funds into the account listed above in the amount of $50,000, per client request please invest ASAP. Thank you.FA",Same-Day Contributions
"Hello,We just moved $100,000 to the account above.Please buy today.FA",Same-Day Contributions
"Hello,I have just transferred $50,000 into the above account. Can you please trade the $50,000 as soon as possible today?FA",Same-Day Contributions
"Please trade the below accounts today as we moved money into the account;656–00004 par; $25,000656–00005; $25,000FA",Same-Day Contributions
"Team,We made a $10,000 contribution via JE this afternoon. Can you please invest these funds into the managed strategy today.FA",Same-Day Contributions
"Good morning,We just transferred $25,000 to account 69549565 Andrew Alpha Modi. Please trade into the manage strategy ASAP.FA",Same-Day Contributions
"To whom it may concern,I’ve just transferred $30,000 into this account from another CMA. Please do best to trade today. I understand it’s on a best efforts basis.FA",Same-Day Contributions
"I moved $25,000 into Brian and Joe’s account. Please trade today Dash understand this is best effort basis.FA",Same-Day Contributions
"Hello,Account 56483904 Debbie, please invest the clients contribution of $10,000 today if possible.FA",Same-Day Contributions
"Good morning,I just transferred $100,000 into 57624417 from his same name CMA we would like to request same day trading please advise.FA",Same-Day Contributions
Moved $6000 into this account for jeans today. Please trade today!FA,Same-Day Contributions
"Moved $30,000 into Larry’s account – please trade today.FA",Same-Day Contributions
"$10,000 is transferring 263111111 today than that is good deposit. It can be Traded.FA",Same-Day Contributions
"Move $10,000 into this account for Jess and tiff – can you please trade TODAY.FA",Same-Day Contributions
"Please see the account that should be treated today, cash is in the account.FA",Same-Day Contributions
Hello Dash new cash deposits have transferred into accounts 00 alfalfa 00 and 00 alpha alpha 00. Please trade todayFA,Same-Day Contributions
"Hello,Intraday deposit $500,000 made into account 111-11111 today. Please expedite treating if possible.FA",Same-Day Contributions
"Good afternoon,$750,000 have been processed into account 700 Dash 00000. Please trade today if possible.FA",Same-Day Contributions
"Good morning,There is a pending mobile deposit the customer made yesterday evening into the account and I was not sure if traders need this to reflect or if trades could be made today but I thought I would bring this to your attention.FA",Same-Day Contributions
"Hello,100 K just transferred in this is good to trade ASAP.FA",Same-Day Contributions
"Hi team,I move $25,000 into the Above account this afternoon can you please put that account into the trading queue today?FA",Same-Day Contributions
"Hello,We just move $25,000 into 111 Dash 11111 and we would like the funds to be invested today if possible.FA",Same-Day Contributions
"Team,Client requested exception to trade the $65,000 added to her managed IRA today in account 82Y110000FA",Same-Day Contributions
"Good afternoon,Deposited $10,000 into account above love us. Please begin investing funds in there for me when trades execute.FA",Same-Day Contributions
"Please trade new cash parentheses $420,000 in Mr. cashews account today.FA",Same-Day Contributions
"Hello,I didn’t get it$50,000 was just moved into account for John Doe. Will this be automatically invested today?",Same-Day Contributions
"Good morning,Just a GE $15,000 into account 831909090 to invest.Please confirm when completed.FA",Same-Day Contributions
"Team,A deposit of 12.5 K was made into account 123-4009 today. Please make best efforts to trade today.Happy holidays.",Same-Day Contributions
"Hi,I transferred $43,253 into account 11111 Dash please trade today if possibleFA",Same-Day Contributions
We just deposited additional funds today into the following account;$1000 to account 0909099Funds are good to trade today.FA,Same-Day Contributions
"Good morning,We just transferred $100,000 into account 020–2641100.Can you please have the manager rebound the account has the contribution is a large portion of the account value??",Same-Day Contributions
"Hello team,Account number 6CL111110On behalf of the above client account we are requesting $1500 that was transferred into the above account be invested ASAP. Please let us know if this is possible.",Same-Day Contributions
"Hello,I have added the following cash amounts to three manage accounts below, please trade today;Q123456 , $125kQ234567,  $100kQ345678, $100k",Same-Day Contributions
"Morning,Not sure if we should notify you, but we just deposited $10,000 into the strategy in 111 Dash 11111 for Linda John Doe thanks!",Same-Day Contributions
"We just deposited additional funds today into the family account$25,000 to account 11233–4 F55Sent from my iP",Same-Day Contributions
"$25,000 moved into 111 Dash 00000 today – is there a way to have the manager invest today?Sent from my iP",Same-Day Contributions
TeamPlease be aware that $3000 have been transferred into clients managed account 555–1110Please trade accordingly.Sent from my iP,Same-Day Contributions
"We transferred $10,000 from the client same name cash IRA into their managed IRA.Client is requesting same-day trade for the full $10,000 appears a dividend was paid today and the dollar amount is being held back please manually trade the request for the additional $188.26 to get the total deposit to $10,000Sent from my iP",Same-Day Contributions
"The final dollar amount has been deposited intraday today. Please invest as soon as possibleAccount number 834561100Dollar amount $265,454.33Sent from my iP",Same-Day Contributions
Please trade the funds that were deposited below today ASAP121212121 - 45k0000090 - 45kSent from my iPad,Same-Day Contributions
"Team,    We just moved $890,678 into the above account, please alert yourtraders to invest today.Best,Akshay C. Patel",Same-Day Contributions
"Team,     I just moved $50k from Mr. Joe's brokerage to the LCV strategy, pleasetrade these funds today if possible.Best,Akshay C. Patel",Same-Day Contributions
"Team,    We have just journaled in $1MM into account 5678900 for trading, today.Please trade and confirm once traded into the Research LCV strategy.Best,Akshay C. Patel",Same-Day Contributions
"We just deposited additional funds today into the family account$25,000 to account 11233–4 F55Sent from my iP",Same-Day Contributions
"I am requesting that you invest the $45,000 in the above account today. Funds were journaled this morning and are good funds in the account please advise when you are able to investSent from my iP",Same-Day Contributions
"Team,$1000 went into the account today please trade today if possible.Sent from my iPad",Same-Day Contributions
"Account; 250 – 43838Deposit amount; $100,000Please buy today.FA",Same-Day Contributions
"All,I moved $250,000 into this account. Please trade ASAP.FA",Same-Day Contributions
"MAA,We just journaled cash to as follows please trade the account ASAP and confirm back to us.Account above, $100,000FA",Same-Day Contributions
"Hi- $300,000 was added to account 2SD-33620 today. Please trade the account today. Thank you!Best,Akshay Pat",Same-Day Contributions
"I just moved $40k to this account. Is it possible to invest today?Thank youAmityBest,Akshay Patel",Same-Day Contributions
"I just moved $40k to this account. Is it possible to invest today?Thank youAmitvBest,Akshay Patel",Same-Day Contributions
"A deposit of $135,000 was made into 721-34722 for Teresa Graw. Please trade today. Please confirmBest,Akshay Pat",Same-Day Contributions
"A deposit of $906,625.78 was made into 721-30176 for Nancy Zunino. Please trade today. Please confirm.Thanks,JackBest,Akshay Pat",Same-Day Contributions
"My client just transferred $120,000 to his brokerage account (81C-54258) & he'd like to invested as soon asPlease confirm when this is traded.Best,Akshay Pat",Same-Day Contributions
"Hello team, I hope this finds you well and you had a nice Thanksgiving$250K was moved into this account, 2|V-41434 a few minutes ago (from acct 41433); can we please have this trade as soon as possible?Best,Akshay Pat",Same-Day Contributions
"Goo morning-My above client has made a $100k deposit into MGIA CMA. Asking best effort to get this traded todayThank you.Best,Akshay Pat",Same-Day Contributions
"A deposit of $135,000 was made into 721-34722 for Teresa Graw. Please trade today. Please confirm.Thanks,JackBest,Akshay Pat",Same-Day Contributions
"Please invest the S50k asapBest,Akshay Patel",Same-Day Contributions
"Money moved into acct, pls trade today6KZ-14446Best,Akshay Patel",Same-Day Contributions
"I submitted an intraday deposit request for $50,000 for Armellini, account 5vu14805, work order s16345030. After, the cliendeposited another $50,000 for a total intraday deposit of $100,000. Please trade the full $100k as soon as possible.Thank you,ChrisBest,Akshay Pat",Same-Day Contributions
"I submitted an intraday deposit request for $50,000 for Armellini, account 5vu14805, work order $16345030. After, the client deposited another $50,000 for a total intraday deposit of $100,000. Please trade the full $100k as soon as possible.Thank youBest,Akshay Pat",Same-Day Contributions
"Hi Please invest the untraded cash in 6QM-28297. Thanks - SamBest,Akshay Patel",Same-Day Contributions
"For 564-22923 name of Philip Joseph please invest in current CIO portfolio $60,000 depositing today via JE.Best,Akshay Pat",Same-Day Contributions
"Hello,Please invest the intradav deposit of $1150,000 in 6PV-65826.Best,Akshay Patel",Same-Day Contributions
"A large deposit of $500k has been made into the above account. These funds are good for trading.Please let me know should you have any questions,Best,Akshay Pat",Same-Day Contributions
"I hope all is well! Our client Anh Dung would like recently deposited funds into account 81818 traded today if possible. Please let us know if I can be of any further assistance and / would be happy to help. Thank you!Very Best,AlexBest,Akshay Pat",Same-Day Contributions
"On accounts 2jv-22856 $20,058.16 cash & 2jv35857-$22,855.63 cashBest,Akshay Patel",Same-Day Contributions
"A deposit of $55,000 was transferred to Richard & Christy Craig's account 20S-23732.Please trade this morning if possible.Thank youBest,Akshay Pat",Same-Day Contributions
"A deposit of $55,000 was transferred to Richard & Christy Craig's account 205-23732.Please trade this morning if possible.Thank you,Best,Akshay Pat",Same-Day Contributions
"The following clients moved cash into the following accounts this morning. Please trade ASAP. Thank you!501-182, Hsiung501-183, DangBest,Akshay Pat",Same-Day Contributions
"Please trade Mirheydar 86321998 today and confirm, we transferred 14,000 via JE today. Thank you.Best,Akshay Pat",Same-Day Contributions
"Tearn,Client has made a large deposit of $200K into his 518-25449 account.Please trade accordingly and as soon as possibleBest,Akshay Patel",Same-Day Contributions
"moved 50,000 and I am trying to have it traded today, but it is not reflecting on the intraday trading screen even though I can seeit moved in there.Are you able to trade the full portion>65 Richard Orlando 50,000Best,Akshay Pat",Same-Day Contributions
"Please trade the $200k in 524-48P53 and $100k in 524-34180. Just confirming we had tax loss selling in both accounts.Best,Akshay Pat",Same-Day Contributions
"I just moved funds into the account. DO NOT TRADE IF THIS WERE TO MESS WITH THE TAX LOSS SELLING THAT TOOK PLACE ON 12/16/21. DON'T WANT TO VOID THE WASH RULE.Best,Akshay Pat",Same-Day Contributions
"$200,000 was transferred into account 840-49556 Peggy Bernstein (Campbell Newman Portfolio)These funds are ready for immediate investment.Best,Akshay Pat",Same-Day Contributions
"Please be aware that an additional deposit was made to this account and we want to remind you that we sold off losses in the past couple of days. We just to be sure that we are compliant with the Tax loss wash rule.Best,Akshay Pat",Same-Day Contributions
"We deposited $100k into this account earlier today. Please let me know if you expect the funds to be invested today. Thank you.Best,Akshay Pat",Same-Day Contributions
"We deposited $100k into this account earlier today. Please let me know if you expect the funds to be invested today. Thank youBest,Akshay Pat",Same-Day Contributions
"Hello,We submitted an intraday deposit for this account, however, for some reason the system would not allow the full 50k, instead$49,983.82. Please make sure to invest the full 50kBest,Akshay Pat",Same-Day Contributions
"Per client request today (12/31/21), please trade today.We understand this is best effort.Best,Akshay Patel",Same-Day Contributions
"We would like to please request the investment of the recent $100k that was deposited into the following account todayBest,Akshay Pat",Same-Day Contributions
"Recently JE $5000 from Cash IRA to same name managed IRA 595-21774, requesting intraday deposit.The system only allows $4,501.33 to be requested, due to pending fee.Client intendeds to invest $5000 TODAY, please invest.Details below. Please let us know if any additional information is neededBest,Akshay Pat",Same-Day Contributions
"Hello guys,Just FYI, S5k was just je'ed to this account and client has requested immediate investment into the allocation if possibleThanks for your help and have a great dayBest,Akshay Pat",Same-Day Contributions
"421-21908421-21920421-21919421-21917421-21916$160,628Research Income & Growth$ 34,157Research Income$ 46,830Research Mid-Cap$ 52,982Research Small Cap$112,402Research InternationalThe J/E of funds came from same name account 422-16976 and have been approved on New Service GatewayJam aware thatlcan notify you of the deposits on the Control Panel, however, in the interest of time, I wanted to get them over to younow. Please let me know if I need to add them individually on the Control Panel.Thanks a lotBest,Akshay Pat",Same-Day Contributions
"$20,000.00 has been deposited into acct 890-27736 today and showing in BMA.I tried to enter an Intraday Deposit but the $20,000.00 is not showing on Control Panel.Client would like the $20,000.00 invested today.Please advise when completed.Best,Akshay Pat",Same-Day Contributions
"Please be advised that we just journaled $114,000 into Kathy Howington's managed IRA 45613034 and thefund are good to tradeThanksBest,Akshay Pat",Same-Day Contributions
"740-82D76740-82D78$7,000*$7,000* NOTE: for account 740-82D76, the Intraday screen shows less than $7,000 so I entered all cash available. I just want you to knowwe did in fact deposit $7,000. Not sure if it makes a difference since amount is minor (screen prints below) so wanted you know.Best,Akshay Pat",Same-Day Contributions
"was advised to enter the $20K Intraday deposit for the available amount showing on the ControlPanel- $17,417.46Would like the full $20k invested-Please advise if the remaining amount can be invested today.Best,Akshay Pat",Same-Day Contributions
"Pamela Gruver Adams has assigned you the following new task:Subject: Kathy Smith-17363-pls ask MAA to invest 80K CASH asap. ThanksContact: Edmund SmithClient & Prospect: Edmund SmithPriority: NormalBest,Akshay Patel",Same-Day Contributions
"MAA,Our dient, Cliff Doner, one of his ML One account #'s is 421-16978, will be adding more money to his accounts todaynow set up to recognize a deposit of funds in ""real-time"" so that it goes to the manager for investment today? If so,cutoff time to have this happen?Best,Akshay Pat",Same-Day Contributions
"FYIWe just moved 15K into account 5pY17751Best,Akshay Patel",Same-Day Contributions
"Hello guys,Just FYI, $5k was je'ed to this account and client has requested immediateinvestment into the allocation if possible.Best,Akshay C. Patel",Same-Day Contributions
"Hi,I just journaled 20k into the 456080 accounts Warren. These funds are goodto trade.Best,Akshay C. Patel",Same-Day Contributions
"HelloViust journaled $20k into the 45613840 accountfor Janna Warren. These funds are good to tradeThanksBest,Akshay Pat",Same-Day Contributions
"MAAThe $50k je'd into 689-75476 is good to trade.Thank vou.Best,Akshay Patel",Same-Day Contributions
"please invest $40k into account 1235456464.Best,Akshay C. Patel",Same-Day Contributions
"Another $100K has been deposited into 233-22796 today. Please invest funds today.Best,Akshay Pat",Same-Day Contributions
"Client deposited $3,500 yesterday from Edge and then $10,000 arrived yesterday and settled today within the account. Both deposits are not showing on intraday deposits.Best,Akshay Pat",Same-Day Contributions
"MAA,   Please invest $50k deposited today in account 1232345.Best,Akshay C. Patel",Same-Day Contributions
"Please trade deposit of $50k made today to account 1233456Best,Akshay C. Patel",Same-Day Contributions
"maa,    Please invest intraday deposit of $40k made to the account 2233333today.Best,Akshay C. Patel",Same-Day Contributions
"Hi,  We deposited $12MM to account 123464512. Please make best efforts totrade today.Best,Akshay C. Patel",Same-Day Contributions
"Good morning - there are still some fractional positionsin 582-05S06 and 582-05S08. Please advise when thesewill be liquidated.Best,Akshay Patel",Terminations
"Would you be able to confirm the no prop funds in 455677 for us. Just want to make sure no funds would be sold uponmoving from STM to PRSN.Thanks!Best,Akshay Pat",Terminations
"I submitted a TERM/KEEP on accounts 278-12412 and278-15030. We will be re-enrolling in TrusteedIRA. Please do NOT sell any proprietary funds.Please confirm.Best,Akshay Patel",Terminations
"Hi,We term and liquidated this account, however thereseems to be 1 security left which is leaving themanagement on the account. Can we get an ETA onwhen this will close out? It looks like there is decentdaily trade volume on the position.ThanksBest,Akshay Patel",Terminations
"Account #: 57602456, 57602457, 57602455, 57602458Inquiry: I requested a term and keep for these fouraccounts today 12/6/21. Can you give me a time framewhen I would be able to move out these assets? I'mallocating them to new Merrill accounts. Thanks!Best,Akshay Patel",Terminations
"Re: 504-31515 Nancy MeachumPlease expedite the termination and sellrequest in the system.Client is very nervous about the market, andneeds to get out of the market as quickly aspossible.Best,Akshay Patel",Terminations
"To whom it may concern,Can you please explain why this is pending andwhen will it trade. Client is looking to purchase acondo.Thank you for your helpStefanoBest,Akshay Patel",Terminations
"We submitted the termination for a deceased accountfor Charles Lum who was enrolled in a custom-managed portfolio 626-18690, this morning. It is stillshowing as pending.We need to make sure there is not any additionaltrading done in this account. Please advise.Best,Akshay Patel",Terminations
"By client request, please terminate and sell all ASAThe client understands that the full liquidation willcause them to fall below the minimum asset level.Best,Akshay Patel",Terminations
"Please approve pending strategy change in ML One for5LW10875 Mike McDonald from CSTM to PRSN so thatwe can submit trades via PCOE this afternoon asconfirmed with MAA MSN (Work Order S16334889 IA25992466).Best,Akshay Patel",Terminations
"Hi,PS was updated for PRSN, but I cannot get tradesthrough. Please allow FGA trading.Best,Akshay Patel",Terminations
"Good afternoon,Morgan Vicknair submitted termination request for thisaccount on 11/16. I see the sales of the securities, butthe MNGD trait is also still reflected on this account.Reaching out to confirm that this request is in order andto inquire on the status of termination?Thank you,Best,Akshay Patel",Terminations
"Hi all,I just sent her determines our request for account 46t838 please execute sales todayFA",Terminations
Can someone please approve this termination ASAP?FA,Terminations
Hi entered term/sell for XYZ. FA Would like this to be sold and in cash by Thursday. Can you confirm?FA,Terminations
Good afternoonPlease advise on the timeline of selling associated with term and partial request for account XYZ.FA,Terminations
Good morningGermany and sell request was submitted for why is he on 1129. Please provide a timeline for selling the position as funds are required for another investment.FA,Terminations
"A terminate and sell request for IRRA 852-14161(Skidmore) was submitted on 11/29/21. As of 12/15/21,one bond remains unsold.Please provide a timeframe for selling the position asfunds are required for another investment. Thank you.BenjaminBest,Akshay Patel",Terminations
"Good Afternoon,I have submitted a term & sell request for I7DK21040. Will you please made sure this getsccomplished asap per the clients request.Best,Akshay Patel",Terminations
"Good afternoon,I just submitted two terminations for 7DK-17844 & 7DK-17845 can you please confirm they were submitted asterm & KEEP?Best,Akshay Patel",Terminations
"Hi,I put a term & sell on this account 12/7/21, and I seethat it's still pending. Most of the acct was sold on12/7/21, but there are still three securities. The clientrequested that I send an email to make sure those aresold.Best,Akshay Patel",Terminations
"Good morning,What do I need to do to terminate and sell all of theNuveen manager in 587-22951?Thank you,Best,Akshay Patel",Terminations
"Hi Maa,Can you expedite Term and Liquidate on53M-33015 - Funds needed for year-endgifting by the client.Thanks very much.Account is Grace Crevello EV Tabs. 53M-33015Best,Akshay Patel",Terminations
"I have submitted a work order to change a CSTMMNGD account to a PIA account. 847-15970. This hasbeen approved by branch and now pending MAA. Weneed to make several trades in the account today,could I please ask for approval?Best,Akshay Patel",Terminations
"Good afternoon,I placed Termination on this managed strategy lastFriday 12/3. Wondering why this has not been tradedyet and when this will be resolved?Thank you,Best,Akshay Patel",Terminations
"Hello,A manager termination was submitted on 10/29 for582-72186. The account is still showing as pendingtermination.Can I get some assistance in getting the mangerterminated please?Thank you,Best,Akshay Patel",Terminations
"Good Morning,I terminated the IAP on 84A48652 and am planning to JEthe funds/securities to 84A55738 and re-enroll in thesame strategy. Please confirm it is terminated and OKto process JE.Thank you!Best,Akshay Patel",Terminations
"Account #: 594-30943Inquiry: Account was frozen, then term & keep requestwas submitted. Please do not sell proprietary funds inthis account as we are consolidating into custommanaged strategy with the same manager. Thank you.Best,Akshay Patel",Terminations
"Good afternoon,These two accounts are currently enrolled into PARAMTRCTABS MUNILD1-14BBB-MIN strategy. The clients will beterminating these accounts. Their intention is to take 1/3from each account and transfer assets to 695-53077, 695-53205 and 695-53209. These three accounts will then beenrolled into the same PARAMTRC TABS MUNILD1-14BBB-MIN strategy. Can the manager advise 1/3 split suggestionsfor 695-44229 and 695-44387? Please let me know if youhave any questions.Thank you,Best,Akshay Patel",Terminations
"Good Afternoon-FA Gary Moulsdale submitted a liquidation request for7LW-10617 back on 11/10/2021. It has just come toGary's attention that the request was not processed.Are you able to determine whether or not the requestwas fully submitted and/or why the account was notliquidated at that time?Thanks,JoeBest,Akshay Patel",Terminations
"Hello,Can you please review this termination request andprovide an update as I don't see any sales.Thank you!Best,Akshay Patel",Terminations
"Hello,We entered termination request for client above on12/03/2021. WO #: S16418694 / A26114133I wanted to check on the status? FA tried to enrollanother account for this client but it is locked.Best,Akshay Patel",Terminations
