Words,Tags
Pierre,NNP
Vinken,NNP
",",","
61,CD
years,NNS
old,JJ
will,MD
join,VB
the,DT
board,NN
as,IN
a,DT
nonexecutive,JJ
director,NN
Nov.,NNP
29,CD
.,.
Mr.,NNP
is,VBZ
chairman,NN
of,IN
Elsevier,NNP
N.V.,NNP
Dutch,JJ
publishing,NN
group,NN
Rudolph,NNP
Agnew,NNP
55,CD
and,CC
former,JJ
Consolidated,NNP
Gold,NNP
Fields,NNP
PLC,NNP
was,VBD
named,VBN
this,DT
British,JJ
industrial,JJ
conglomerate,NN
A,DT
form,NN
asbestos,NN
once,RB
used,VBN
to,TO
make,VB
Kent,NNP
cigarette,NN
filters,NNS
has,VBZ
caused,VBN
high,JJ
percentage,NN
cancer,NN
deaths,NNS
among,IN
workers,NNS
exposed,VBN
it,PRP
more,JJR
than,IN
30,CD
ago,RB
researchers,NNS
reported,VBD
The,DT
fiber,NN
crocidolite,NN
unusually,RB
resilient,JJ
enters,VBZ
lungs,NNS
with,IN
even,RB
brief,JJ
exposures,NNS
causing,VBG
symptoms,NNS
that,IN
show,NN
up,RB
decades,NNS
later,RB
said,VBD
Lorillard,NNP
Inc.,NNP
unit,NN
New,NNP
York-based,JJ
Loews,NNP
Corp.,NNP
makes,VBZ
cigarettes,NNS
stopped,VBD
using,VBG
in,IN
its,PRP$
Micronite,NN
1956,CD
Although,IN
preliminary,JJ
findings,NNS
were,VBD
year,NN
latest,JJS
results,NNS
appear,VB
today,NN
's,POS
England,NNP
Journal,NNP
Medicine,NNP
forum,NN
likely,JJ
bring,VB
new,JJ
attention,NN
problem,NN
spokewoman,NN
``,``
This,DT
an,DT
story,NN
We,PRP
're,VBP
talking,VBG
about,IN
before,IN
anyone,NN
heard,VBN
having,VBG
any,DT
questionable,JJ
properties,NNS
There,EX
no,DT
our,PRP$
products,NNS
now,RB
'',''
Neither,DT
nor,CC
who,WP
studied,VBN
aware,JJ
research,NN
on,IN
smokers,NNS
have,VBP
useful,JJ
information,NN
whether,IN
